E_step,E_exx,E_eyy,E_exy,E_rix,E_riy,E_rjx,E_rjy,E_rr_absx,E_rr_absy,E_rr_abs,E_rr_minx,E_rr_miny,E_rr_min,E_rr_fixx,E_rr_fixy,E_rr_fix,E_v1x,E_v1y,E_v2x,E_v2y,E_Lx,E_Ly,E_Dxy,
 19.0000, 0.0000 , 0.0000 , 0.1900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.9000, 2.5000 , 3.1401 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.9000 , 10.0000, 10.0000, 10.0000, 1.9000 ,
 20.0000, 0.0000 , 0.0000 , 0.2000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.0000, 2.5000 , 3.2016 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.0000 , 10.0000, 10.0000, 10.0000, 2.0000 ,
 21.0000, 0.0000 , 0.0000 , 0.2100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.1000, 2.5000 , 3.2650 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.1000 , 10.0000, 10.0000, 10.0000, 2.1000 ,
 22.0000, 0.0000 , 0.0000 , 0.2200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.2000, 2.5000 , 3.3302 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.2000 , 10.0000, 10.0000, 10.0000, 2.2000 ,
 23.0000, 0.0000 , 0.0000 , 0.2300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.3000, 2.5000 , 3.3971 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.3000 , 10.0000, 10.0000, 10.0000, 2.3000 ,
 24.0000, 0.0000 , 0.0000 , 0.2400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.4000, 2.5000 , 3.4655 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.4000 , 10.0000, 10.0000, 10.0000, 2.4000 ,
 25.0000, 0.0000 , 0.0000 , 0.2500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.5000, 2.5000 , 3.5355 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.5000 , 10.0000, 10.0000, 10.0000, 2.5000 ,
 26.0000, 0.0000 , 0.0000 , 0.2600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.6000, 2.5000 , 3.6069 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.6000 , 10.0000, 10.0000, 10.0000, 2.6000 ,
 27.0000, 0.0000 , 0.0000 , 0.2700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.7000, 2.5000 , 3.6797 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.7000 , 10.0000, 10.0000, 10.0000, 2.7000 ,
 28.0000, 0.0000 , 0.0000 , 0.2800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.8000, 2.5000 , 3.7537 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.8000 , 10.0000, 10.0000, 10.0000, 2.8000 ,
 29.0000, 0.0000 , 0.0000 , 0.2900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -2.9000, 2.5000 , 3.8288 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 2.9000 , 10.0000, 10.0000, 10.0000, 2.9000 ,
 30.0000, 0.0000 , 0.0000 , 0.3000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.0000, 2.5000 , 3.9051 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.0000 , 10.0000, 10.0000, 10.0000, 3.0000 ,
 31.0000, 0.0000 , 0.0000 , 0.3100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.1000, 2.5000 , 3.9825 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.1000 , 10.0000, 10.0000, 10.0000, 3.1000 ,
 32.0000, 0.0000 , 0.0000 , 0.3200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.2000, 2.5000 , 4.0608 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.2000 , 10.0000, 10.0000, 10.0000, 3.2000 ,
 33.0000, 0.0000 , 0.0000 , 0.3300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.3000, 2.5000 , 4.1400 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.3000 , 10.0000, 10.0000, 10.0000, 3.3000 ,
 34.0000, 0.0000 , 0.0000 , 0.3400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.4000, 2.5000 , 4.2202 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.4000 , 10.0000, 10.0000, 10.0000, 3.4000 ,
 35.0000, 0.0000 , 0.0000 , 0.3500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.5000, 2.5000 , 4.3012 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.5000 , 10.0000, 10.0000, 10.0000, 3.5000 ,
 36.0000, 0.0000 , 0.0000 , 0.3600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.6000, 2.5000 , 4.3829 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.6000 , 10.0000, 10.0000, 10.0000, 3.6000 ,
 37.0000, 0.0000 , 0.0000 , 0.3700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.7000, 2.5000 , 4.4654 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.7000 , 10.0000, 10.0000, 10.0000, 3.7000 ,
 38.0000, 0.0000 , 0.0000 , 0.3800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.8000, 2.5000 , 4.5486 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.8000 , 10.0000, 10.0000, 10.0000, 3.8000 ,
 39.0000, 0.0000 , 0.0000 , 0.3900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -3.9000, 2.5000 , 4.6325 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 3.9000 , 10.0000, 10.0000, 10.0000, 3.9000 ,
 40.0000, 0.0000 , 0.0000 , 0.4000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.0000, 2.5000 , 4.7170 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 41.0000, 0.0000 , 0.0000 , 0.4100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.1000, 2.5000 , 4.8021 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.1000 , 10.0000, 10.0000, 10.0000, 4.1000 ,
 42.0000, 0.0000 , 0.0000 , 0.4200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.2000, 2.5000 , 4.8877 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.2000 , 10.0000, 10.0000, 10.0000, 4.2000 ,
 43.0000, 0.0000 , 0.0000 , 0.4300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.3000, 2.5000 , 4.9739 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.3000 , 10.0000, 10.0000, 10.0000, 4.3000 ,
