A_step,A_exx,A_eyy,A_exy,A_rix,A_riy,A_rjx,A_rjy,A_rr_absx,A_rr_absy,A_rr_abs,A_rr_minx,A_rr_miny,A_rr_min,A_rr_fixx,A_rr_fixy,A_rr_fix,A_v1x,A_v1y,A_v2x,A_v2y,A_Lx,A_Ly,A_Dxy,
 10.0000, 0.0000 , 0.1000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.7500, 0.0000 , 13.7500, 13.7500, 0.0000 , 3.7500 , 3.7500 , 0.0000 , 3.7500 , 3.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 11.0000, 0.0000 , 0.1100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.8750, 0.0000 , 13.8750, 13.8750, 0.0000 , 3.8750 , 3.8750 , 0.0000 , 3.8750 , 3.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 12.0000, 0.0000 , 0.1200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.0000, 0.0000 , 14.0000, 14.0000, 0.0000 , 4.0000 , 4.0000 , 0.0000 , 4.0000 , 4.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 13.0000, 0.0000 , 0.1300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.1250, 0.0000 , 14.1250, 14.1250, 0.0000 , 4.1250 , 4.1250 , 0.0000 , 4.1250 , 4.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 14.0000, 0.0000 , 0.1400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.2500, 0.0000 , 14.2500, 14.2500, 0.0000 , 4.2500 , 4.2500 , 0.0000 , 4.2500 , 4.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 15.0000, 0.0000 , 0.1500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.3750, 0.0000 , 14.3750, 14.3750, 0.0000 , 4.3750 , 4.3750 , 0.0000 , 4.3750 , 4.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 16.0000, 0.0000 , 0.1600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.5000, 0.0000 , 14.5000, 14.5000, 0.0000 , 4.5000 , 4.5000 , 0.0000 , 4.5000 , 4.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 17.0000, 0.0000 , 0.1700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.6250, 0.0000 , 14.6250, 14.6250, 0.0000 , 4.6250 , 4.6250 , 0.0000 , 4.6250 , 4.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 18.0000, 0.0000 , 0.1800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.7500, 0.0000 , 14.7500, 14.7500, 0.0000 , 4.7500 , 4.7500 , 0.0000 , 4.7500 , 4.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 19.0000, 0.0000 , 0.1900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.8750, 0.0000 , 14.8750, 14.8750, 0.0000 , 4.8750 , 4.8750 , 0.0000 , 4.8750 , 4.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
