B_step,B_exx,B_eyy,B_exy,B_rix,B_riy,B_rjx,B_rjy,B_rr_absx,B_rr_absy,B_rr_abs,B_rr_minx,B_rr_miny,B_rr_min,B_rr_fixx,B_rr_fixy,B_rr_fix,B_v1x,B_v1y,B_v2x,B_v2y,B_Lx,B_Ly,B_Dxy,
 19.0000, 0.0000 , 0.1900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.8750, 0.0000 , 14.8750, 14.8750, -4.0000, 4.8750 , 6.3060 , -4.0000, 4.8750 , 6.3060 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 20.0000, 0.0000 , 0.2000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.0000, 0.0000 , 15.0000, 15.0000, 2.0000 , -5.0000, 5.3852 , -4.0000, 5.0000 , 6.4031 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 21.0000, 0.0000 , 0.2100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.1250, 0.0000 , 15.1250, 15.1250, 2.0000 , -4.8750, 5.2693 , -4.0000, 5.1250 , 6.5012 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 22.0000, 0.0000 , 0.2200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.2500, 0.0000 , 15.2500, 15.2500, 2.0000 , -4.7500, 5.1539 , -4.0000, 5.2500 , 6.6002 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 23.0000, 0.0000 , 0.2300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.3750, 0.0000 , 15.3750, 15.3750, 2.0000 , -4.6250, 5.0389 , -4.0000, 5.3750 , 6.7000 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 24.0000, 0.0000 , 0.2400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.5000, 0.0000 , 15.5000, 15.5000, 2.0000 , -4.5000, 4.9244 , -4.0000, 5.5000 , 6.8007 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 25.0000, 0.0000 , 0.2500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.6250, 0.0000 , 15.6250, 15.6250, 2.0000 , -4.3750, 4.8105 , -4.0000, 5.6250 , 6.9022 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 26.0000, 0.0000 , 0.2600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.7500, 0.0000 , 15.7500, 15.7500, 2.0000 , -4.2500, 4.6971 , -4.0000, 5.7500 , 7.0045 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 27.0000, 0.0000 , 0.2700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.8750, 0.0000 , 15.8750, 15.8750, 2.0000 , -4.1250, 4.5843 , -4.0000, 5.8750 , 7.1074 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 28.0000, 0.0000 , 0.2800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.0000, 0.0000 , 16.0000, 16.0000, 2.0000 , -4.0000, 4.4721 , -4.0000, 6.0000 , 7.2111 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
