D_step,D_exx,D_eyy,D_exy,D_rix,D_riy,D_rjx,D_rjy,D_rr_absx,D_rr_absy,D_rr_abs,D_rr_minx,D_rr_miny,D_rr_min,D_rr_fixx,D_rr_fixy,D_rr_fix,D_v1x,D_v1y,D_v2x,D_v2y,D_Lx,D_Ly,D_Dxy,
 18.0000, 0.0000 , 0.1800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.7500, 0.0000 , 14.7500, 14.7500, 0.0000 , 2.9500 , 2.9500 , 0.0000 , 2.9500 , 2.9500 , 10.0000, 0.0000 , 0.0000 , 11.8000, 10.0000, 11.8000, 0.0000 ,
 19.0000, 0.0000 , 0.1900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 14.8750, 0.0000 , 14.8750, 14.8750, 0.0000 , 2.9750 , 2.9750 , 0.0000 , 2.9750 , 2.9750 , 10.0000, 0.0000 , 0.0000 , 11.9000, 10.0000, 11.9000, 0.0000 ,
 20.0000, 0.0000 , 0.2000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.0000, 0.0000 , 15.0000, 15.0000, 0.0000 , 3.0000 , 3.0000 , 0.0000 , 3.0000 , 3.0000 , 10.0000, 0.0000 , 0.0000 , 12.0000, 10.0000, 12.0000, 0.0000 ,
 21.0000, 0.0000 , 0.2100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.1250, 0.0000 , 15.1250, 15.1250, 0.0000 , 3.0250 , 3.0250 , 0.0000 , 3.0250 , 3.0250 , 10.0000, 0.0000 , 0.0000 , 12.1000, 10.0000, 12.1000, 0.0000 ,
 22.0000, 0.0000 , 0.2200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.2500, 0.0000 , 15.2500, 15.2500, 0.0000 , 3.0500 , 3.0500 , 0.0000 , 3.0500 , 3.0500 , 10.0000, 0.0000 , 0.0000 , 12.2000, 10.0000, 12.2000, 0.0000 ,
 23.0000, 0.0000 , 0.2300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.3750, 0.0000 , 15.3750, 15.3750, 0.0000 , 3.0750 , 3.0750 , 0.0000 , 3.0750 , 3.0750 , 10.0000, 0.0000 , 0.0000 , 12.3000, 10.0000, 12.3000, 0.0000 ,
 24.0000, 0.0000 , 0.2400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.5000, 0.0000 , 15.5000, 15.5000, 0.0000 , 3.1000 , 3.1000 , 0.0000 , 3.1000 , 3.1000 , 10.0000, 0.0000 , 0.0000 , 12.4000, 10.0000, 12.4000, 0.0000 ,
 25.0000, 0.0000 , 0.2500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.6250, 0.0000 , 15.6250, 15.6250, 0.0000 , 3.1250 , 3.1250 , 0.0000 , 3.1250 , 3.1250 , 10.0000, 0.0000 , 0.0000 , 12.5000, 10.0000, 12.5000, 0.0000 ,
 26.0000, 0.0000 , 0.2600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.7500, 0.0000 , 15.7500, 15.7500, 0.0000 , 3.1500 , 3.1500 , 0.0000 , 3.1500 , 3.1500 , 10.0000, 0.0000 , 0.0000 , 12.6000, 10.0000, 12.6000, 0.0000 ,
 27.0000, 0.0000 , 0.2700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.8750, 0.0000 , 15.8750, 15.8750, 0.0000 , 3.1750 , 3.1750 , 0.0000 , 3.1750 , 3.1750 , 10.0000, 0.0000 , 0.0000 , 12.7000, 10.0000, 12.7000, 0.0000 ,
 28.0000, 0.0000 , 0.2800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.0000, 0.0000 , 16.0000, 16.0000, 0.0000 , 3.2000 , 3.2000 , 0.0000 , 3.2000 , 3.2000 , 10.0000, 0.0000 , 0.0000 , 12.8000, 10.0000, 12.8000, 0.0000 ,
