C_step,C_exx,C_eyy,C_exy,C_rix,C_riy,C_rjx,C_rjy,C_rr_absx,C_rr_absy,C_rr_abs,C_rr_minx,C_rr_miny,C_rr_min,C_rr_fixx,C_rr_fixy,C_rr_fix,C_v1x,C_v1y,C_v2x,C_v2y,C_Lx,C_Ly,C_Dxy,
 18.0000, 0.0000 , 0.1800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.7000 , 0.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 11.8000, 10.0000, 11.8000, 0.0000 ,
 19.0000, 0.0000 , 0.1900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.6000 , 0.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 11.9000, 10.0000, 11.9000, 0.0000 ,
 20.0000, 0.0000 , 0.2000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.5000 , 0.5000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.0000, 10.0000, 12.0000, 0.0000 ,
 21.0000, 0.0000 , 0.2100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.4000 , 0.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.1000, 10.0000, 12.1000, 0.0000 ,
 22.0000, 0.0000 , 0.2200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.3000 , 0.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.2000, 10.0000, 12.2000, 0.0000 ,
 23.0000, 0.0000 , 0.2300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.2000 , 0.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.3000, 10.0000, 12.3000, 0.0000 ,
 24.0000, 0.0000 , 0.2400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.1000 , 0.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.4000, 10.0000, 12.4000, 0.0000 ,
 25.0000, 0.0000 , 0.2500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 0.0000 , 0.0000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.5000, 10.0000, 12.5000, 0.0000 ,
 26.0000, 0.0000 , 0.2600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.1000, 0.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.6000, 10.0000, 12.6000, 0.0000 ,
 27.0000, 0.0000 , 0.2700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.2000, 0.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.7000, 10.0000, 12.7000, 0.0000 ,
