F_step,F_exx,F_eyy,F_exy,F_rix,F_riy,F_rjx,F_rjy,F_rr_absx,F_rr_absy,F_rr_abs,F_rr_minx,F_rr_miny,F_rr_min,F_rr_fixx,F_rr_fixy,F_rr_fix,F_v1x,F_v1y,F_v2x,F_v2y,F_Lx,F_Ly,F_Dxy,
 18.0000, 0.0000 , 0.0000 , 0.1800 , 0.0000 , 0.0000 , 2.2500 , 12.5000, 2.2500 , 12.5000, 12.7009, 0.4500 , 2.5000 , 2.5402 , 0.4500 , 2.5000 , 2.5402 , 10.0000, 0.0000 , 1.8000 , 10.0000, 10.0000, 10.0000, 1.8000 ,
 19.0000, 0.0000 , 0.0000 , 0.1900 , 0.0000 , 0.0000 , 2.3750 , 12.5000, 2.3750 , 12.5000, 12.7236, 0.4750 , 2.5000 , 2.5447 , 0.4750 , 2.5000 , 2.5447 , 10.0000, 0.0000 , 1.9000 , 10.0000, 10.0000, 10.0000, 1.9000 ,
 20.0000, 0.0000 , 0.0000 , 0.2000 , 0.0000 , 0.0000 , 2.5000 , 12.5000, 2.5000 , 12.5000, 12.7475, 0.5000 , 2.5000 , 2.5495 , 0.5000 , 2.5000 , 2.5495 , 10.0000, 0.0000 , 2.0000 , 10.0000, 10.0000, 10.0000, 2.0000 ,
 21.0000, 0.0000 , 0.0000 , 0.2100 , 0.0000 , 0.0000 , 2.6250 , 12.5000, 2.6250 , 12.5000, 12.7727, 0.5250 , 2.5000 , 2.5545 , 0.5250 , 2.5000 , 2.5545 , 10.0000, 0.0000 , 2.1000 , 10.0000, 10.0000, 10.0000, 2.1000 ,
 22.0000, 0.0000 , 0.0000 , 0.2200 , 0.0000 , 0.0000 , 2.7500 , 12.5000, 2.7500 , 12.5000, 12.7989, 0.5500 , 2.5000 , 2.5598 , 0.5500 , 2.5000 , 2.5598 , 10.0000, 0.0000 , 2.2000 , 10.0000, 10.0000, 10.0000, 2.2000 ,
 23.0000, 0.0000 , 0.0000 , 0.2300 , 0.0000 , 0.0000 , 2.8750 , 12.5000, 2.8750 , 12.5000, 12.8264, 0.5750 , 2.5000 , 2.5653 , 0.5750 , 2.5000 , 2.5653 , 10.0000, 0.0000 , 2.3000 , 10.0000, 10.0000, 10.0000, 2.3000 ,
 24.0000, 0.0000 , 0.0000 , 0.2400 , 0.0000 , 0.0000 , 3.0000 , 12.5000, 3.0000 , 12.5000, 12.8550, 0.6000 , 2.5000 , 2.5710 , 0.6000 , 2.5000 , 2.5710 , 10.0000, 0.0000 , 2.4000 , 10.0000, 10.0000, 10.0000, 2.4000 ,
 25.0000, 0.0000 , 0.0000 , 0.2500 , 0.0000 , 0.0000 , 3.1250 , 12.5000, 3.1250 , 12.5000, 12.8847, 0.6250 , 2.5000 , 2.5769 , 0.6250 , 2.5000 , 2.5769 , 10.0000, 0.0000 , 2.5000 , 10.0000, 10.0000, 10.0000, 2.5000 ,
 26.0000, 0.0000 , 0.0000 , 0.2600 , 0.0000 , 0.0000 , 3.2500 , 12.5000, 3.2500 , 12.5000, 12.9156, 0.6500 , 2.5000 , 2.5831 , 0.6500 , 2.5000 , 2.5831 , 10.0000, 0.0000 , 2.6000 , 10.0000, 10.0000, 10.0000, 2.6000 ,
 27.0000, 0.0000 , 0.0000 , 0.2700 , 0.0000 , 0.0000 , 3.3750 , 12.5000, 3.3750 , 12.5000, 12.9476, 0.6750 , 2.5000 , 2.5895 , 0.6750 , 2.5000 , 2.5895 , 10.0000, 0.0000 , 2.7000 , 10.0000, 10.0000, 10.0000, 2.7000 ,
 28.0000, 0.0000 , 0.0000 , 0.2800 , 0.0000 , 0.0000 , 3.5000 , 12.5000, 3.5000 , 12.5000, 12.9808, 0.7000 , 2.5000 , 2.5962 , 0.7000 , 2.5000 , 2.5962 , 10.0000, 0.0000 , 2.8000 , 10.0000, 10.0000, 10.0000, 2.8000 ,
 29.0000, 0.0000 , 0.0000 , 0.2900 , 0.0000 , 0.0000 , 3.6250 , 12.5000, 3.6250 , 12.5000, 13.0150, 0.7250 , 2.5000 , 2.6030 , 0.7250 , 2.5000 , 2.6030 , 10.0000, 0.0000 , 2.9000 , 10.0000, 10.0000, 10.0000, 2.9000 ,
 30.0000, 0.0000 , 0.0000 , 0.3000 , 0.0000 , 0.0000 , 3.7500 , 12.5000, 3.7500 , 12.5000, 13.0504, 0.7500 , 2.5000 , 2.6101 , 0.7500 , 2.5000 , 2.6101 , 10.0000, 0.0000 , 3.0000 , 10.0000, 10.0000, 10.0000, 3.0000 ,
 31.0000, 0.0000 , 0.0000 , 0.3100 , 0.0000 , 0.0000 , 3.8750 , 12.5000, 3.8750 , 12.5000, 13.0868, 0.7750 , 2.5000 , 2.6174 , 0.7750 , 2.5000 , 2.6174 , 10.0000, 0.0000 , 3.1000 , 10.0000, 10.0000, 10.0000, 3.1000 ,
 32.0000, 0.0000 , 0.0000 , 0.3200 , 0.0000 , 0.0000 , 4.0000 , 12.5000, 4.0000 , 12.5000, 13.1244, 0.8000 , 2.5000 , 2.6249 , 0.8000 , 2.5000 , 2.6249 , 10.0000, 0.0000 , 3.2000 , 10.0000, 10.0000, 10.0000, 3.2000 ,
